Name,Crystal Structure,Diaphaneity,Specific Gravity,Optical,Refractive Index,Molar Mass,Molar Volume,Calculated Density
Cacoxenite,5.0,3.0,2.4,3.0,1.6130000000000002,892.228126,0.16826143,4.401
Cafarsite,0.0,1.0,3.9,2.0,2.2,686.36667,0.07850258000000003,7.257000000000001
Cafetite,2.0,3.0,3.28,4.0,2.0469999999999997,803.38176,0.15691329999999998,4.25
Calciborite,3.0,2.0,2.878,4.0,1.64,125.6976,0.04481868,2.3280000000000003
Calcite,5.0,2.0,2.71,3.0,1.595,68.08840000000001,0.01122721,5.034
Calderite,6.0,2.0,3.7560000000000002,2.0,1.8719999999999999,154.86995,0.011222539999999998,11.454
Caledonite,3.0,2.0,5.7,4.0,2.498,956.3076,0.10091809999999997,7.865
Campigliaite,2.0,0.0,3.0,4.0,1.631,675.3544099999998,0.35853651000000003,1.5630000000000002
Cancrinite,5.0,2.0,2.465,3.0,1.508,364.235811,0.06739351,4.486000000000001
Carletonite,4.0,2.0,2.45,3.0,1.5190000000000001,487.350546,0.12340381,3.278
Carlosruizite,5.0,3.0,3.42,3.0,1.649,555.9561739999998,0.07863690000000001,5.867999999999999
Carlsbergite,6.0,1.0,5.9,0.0,0.0,66.00283999999999,0.01120423,4.888999999999999
Carminite,3.0,2.0,5.105,4.0,2.073,734.10318,0.056085889999999985,10.864
Carnallite,3.0,2.0,1.6,4.0,1.479,484.2201,0.0554494,7.247999999999999
Carnotite,2.0,3.0,4.7,4.0,1.919,424.0651,0.06724253999999999,5.234
Carobbiite,0.0,0.0,0.0,0.0,0.0,58.09670300000001,0.011247700000000001,4.287
Carpathite,2.0,3.0,1.35,4.0,1.923,150.17963999999998,0.06732372,1.851
Carpholite,3.0,2.0,2.983,4.0,1.6230000000000002,219.000828,0.033663430000000015,5.4
Cassiterite,4.0,1.0,7.04,3.0,2.049,134.7094,0.0112122,9.972000000000001
Cavansite,3.0,3.0,2.29,4.0,1.787,297.23312000000004,0.11209644,2.201
Celadonite,2.0,0.0,0.0,0.0,0.0,352.57764,0.07849808,3.728
Celsian,2.0,3.0,3.245,4.0,1.588,485.590356,0.08969546,4.493
Cerussite,3.0,2.0,6.55,4.0,1.984,251.2098,0.02241561,9.302
Cervantite,3.0,3.0,6.5,4.0,2.051,307.5176,0.0448204,5.695
Cesanite,5.0,2.0,2.99,3.0,1.567,304.290504,0.033789499999999986,7.475
Chalcanthite,1.0,2.0,2.21,4.0,1.531,303.1526,0.10079458,2.496
Chalconatronite,2.0,0.0,2.27,0.0,0.0,279.558016,0.12324931,1.883
Chalcophyllite,5.0,2.0,2.605,3.0,1.595,413.11924900000014,0.19049767,1.8
Challacolloite,0.0,0.0,0.0,0.0,0.0,630.7618,0.0552323,9.479
Chambersite,3.0,1.0,3.49,4.0,1.7380000000000002,483.93605,0.15663078,2.5639999999999996
Chamosite,2.0,0.0,0.0,0.0,0.0,526.609217,0.04499144,9.715
Changbaiite,5.0,3.0,0.0,3.0,0.0,794.5033799999999,0.05604569999999999,11.765999999999998
Chapmanite,2.0,0.0,3.72,0.0,1.92,302.6975,0.05603539,4.484
Charoite,2.0,2.0,2.56,4.0,1.554,2024.358739,0.5717905,2.9389999999999996
Chesterite,3.0,3.0,3.23,4.0,1.63,1518.2382,0.31387081,4.015
Chlorargyrite,0.0,0.0,5.556,2.0,2.0709999999999997,143.3209,0.0110403,10.775
Chloritoid,1.0,2.0,3.63,4.0,1.7269999999999999,408.619308,0.10086839,3.362
Chlormayenite,6.0,3.0,2.85,2.0,1.629,142.039278,0.033633880000000005,3.505
Chondrodite,2.0,2.0,3.18,4.0,1.631,256.850843,0.07845319,2.717
Chromite,0.0,1.0,4.65,2.0,2.12,123.8425,0.01121032,9.169
Chrysoberyl,3.0,0.0,3.67,4.0,1.749,110.97345800000001,0.03361286,2.74
Chrysotile,2.0,2.0,0.0,4.0,1.57,277.11499999999995,0.0561182,4.099
Clarkeite,0.0,0.0,0.0,0.0,0.0,293.017468,0.0224283,10.844000000000001
Claudetite,2.0,3.0,4.145,4.0,1.933,197.84138,0.0336142,4.885
Clinoclase,2.0,0.0,0.0,0.0,0.0,380.58119000000005,0.04487237,7.04
Clinohedrite,2.0,2.0,3.305,4.0,1.666,215.56638,0.07844715999999999,2.281
Clinohumite,2.0,2.0,3.26,4.0,1.675,389.576943,0.1232808,2.623
Clinozoisite,2.0,2.0,3.35,4.0,1.719,509.34331700000007,0.11209253,3.7710000000000004
Clintonite,2.0,2.0,3.05,4.0,1.6540000000000001,211.43777799999998,0.03367798,5.211
Coesite,2.0,3.0,0.0,4.0,1.5959999999999999,240.3372,0.0896164,2.226
Colemanite,2.0,2.0,2.42,4.0,1.597,373.3865,0.13447062,2.305
Collinsite,1.0,2.0,2.99,4.0,1.6440000000000001,177.369642,0.0784569,1.876
Combeite,5.0,3.0,2.844,3.0,1.598,202.21923600000002,0.0336995,4.981
Conichalcite,3.0,2.0,4.3,4.0,1.8090000000000002,283.8555300000001,0.06725009,3.503
Connellite,5.0,2.0,3.385,3.0,1.742,706.4850400000001,0.07800131,7.518
Cordierite,3.0,2.0,2.615,0.0,1.5519999999999998,282.542978,0.06725690000000001,3.487
Corkite,5.0,3.0,4.302,3.0,1.9380000000000002,375.092902,0.04485679,6.94
Cornubite,1.0,2.0,4.64,4.0,1.885,363.57319000000007,0.04485437,6.728
Cornwallite,2.0,1.0,4.17,4.0,1.839,394.54563200000007,0.08964737,3.653
Corundum,5.0,1.0,4.025,3.0,1.765,42.980939,0.01120599,3.1830000000000003
Cotunnite,3.0,1.0,5.8,4.0,2.225,278.1054,0.0220783,10.455
Creedite,2.0,2.0,2.71,4.0,1.475,282.218571,0.12330019,1.9
Cristobalite,4.0,3.0,2.34,3.0,1.486,120.1686,0.0448082,2.226
Crocoite,2.0,2.0,6.0,4.0,2.2319999999999998,379.0407,0.04481662,7.02
Cronstedtite,5.0,2.0,3.345,4.0,1.7730000000000001,205.79298,0.06723028,2.541
Cryolite,2.0,2.0,2.975,4.0,1.339,91.959478,0.01125959,6.779
Cryptomelane,4.0,1.0,4.29,0.0,0.0,126.03515,0.02244505,4.6610000000000005
Cummingtonite,2.0,2.0,3.35,4.0,1.67,724.001139,0.15691265,3.83
Cuprite,6.0,2.0,6.14,2.0,2.8489999999999998,79.5454,0.01120309,5.893
Cuprosklodowskite,1.0,2.0,3.85,4.0,1.662,479.7018,0.06726169,5.919
Curite,3.0,3.0,7.19,4.0,2.1069999999999998,1324.5123,0.10089209999999997,10.895999999999999
Cuspidine,2.0,2.0,2.905,4.0,1.595,366.475606,0.1009038,3.015
Cymrite,2.0,2.0,3.49,4.0,1.617,2086.481424,0.35892584,4.825
Cyrilovite,4.0,2.0,3.088,3.0,1.788,281.68613,0.04489298,5.207999999999999
Danalite,0.0,3.0,3.37,2.0,1.7590000000000001,141.01008000000004,0.011236469999999998,10.415999999999999
Danburite,3.0,2.0,2.975,4.0,1.633,158.9715,0.05602239,2.355
Datolite,2.0,1.0,2.98,4.0,1.651,159.98010000000005,0.04484439,2.9610000000000003
Dawsonite,3.0,3.0,2.436,0.0,1.535,127.995787,0.0672431,1.58
Delafossite,5.0,1.0,5.41,3.0,0.0,106.52693899999998,0.01121308,7.885
Demesmaekerite,1.0,0.0,0.0,0.0,0.0,1117.7793000000004,0.12332927,7.523
Derriksite,3.0,2.0,4.72,0.0,0.0,750.6153,0.06731457,9.255
Descloizite,3.0,1.0,6.15,4.0,2.267,388.5377,0.0336418,9.586
Devilline,2.0,0.0,0.0,4.0,1.631,1284.9644,0.17963411999999998,5.937
Diaboleite,4.0,2.0,0.0,3.0,1.916,358.65874,0.04449139,6.691
Diaspore,3.0,2.0,3.25,4.0,1.7169999999999999,58.980339,0.02240199,2.185
Dickite,2.0,3.0,2.6,4.0,1.565,258.160438,0.14564818,1.4709999999999999
Diopside,2.0,0.0,3.278,4.0,1.693,252.1607,0.033654180000000006,6.218999999999999
Dioptase,5.0,2.0,3.315,3.0,1.681,157.64498,0.06722319,1.946
Dmitryivanovite,2.0,0.0,0.0,0.0,0.0,316.077356,0.08965976,2.926
Dollaseite-(Ce),2.0,2.0,3.9,4.0,1.722,867.775382,0.13456115999999996,5.353
Duftite,3.0,2.0,6.5,4.0,2.065,426.67319000000003,0.04484049,7.898
Dumortierite,3.0,2.0,3.35,4.0,1.682,384.9175560000001,0.12326055,2.592
Dundasite,3.0,3.0,3.325,4.0,1.69,408.24813900000004,0.04491291,7.545
Edingtonite,3.0,0.0,0.0,4.0,1.547,391.562026,0.07855278,4.137
Elbaite,5.0,1.0,0.0,3.0,1.633,525.675757,0.06734788,6.478
Emmonsite,1.0,1.0,4.535,4.0,2.069,656.5035999999999,0.10085738,5.403
Enstatite,3.0,1.0,3.25,4.0,1.6640000000000001,312.4714,0.06724238,3.8569999999999998
Eosphorite,3.0,2.0,3.07,4.0,1.651,250.753231,0.07844143,2.653
Ephesite,2.0,2.0,2.984,4.0,1.615,996.3413640000001,0.31383428,2.635
Epidote,2.0,1.0,3.45,4.0,1.751,748.231767,0.1009882,6.15
Epsomite,3.0,2.0,1.675,4.0,1.45,246.47556000000003,0.28012640000000005,0.73
Ericssonite,2.0,1.0,0.0,0.0,1.847,785.11105,0.06732151,9.68
Erythrite,2.0,2.0,3.06,4.0,1.6640000000000001,727.03835,0.07848712,7.688
Eskolaite,5.0,1.0,5.18,3.0,0.0,67.99549999999999,0.01120323,5.037
Esperite,2.0,1.0,4.35,4.0,1.7690000000000001,759.7753,0.13448587999999995,4.689
Ettringite,5.0,1.0,1.77,3.0,1.4809999999999999,556.480358,0.45946498,1.005
Euchroite,3.0,0.0,0.0,0.0,0.0,337.06419000000005,0.04488328,6.233
Euclase,2.0,2.0,3.045,4.0,1.659,145.08481899999998,0.04482897,2.6860000000000004
Eucryptite,5.0,2.0,0.0,3.0,1.578,181.072678,0.04484118,3.352
Eudialyte,5.0,2.0,2.92,3.0,1.61,2037.957984,0.1457659199999999,11.604000000000001
Euxenite-(Y),3.0,1.0,4.85,2.0,2.1519999999999997,277.69043,0.0336293,6.854
Fabianite,2.0,0.0,0.0,0.0,0.0,169.51600000000005,0.05603707,2.511
Farneseite,5.0,3.0,2.52,3.0,1.501,1727.045179,0.26950956,5.319
Faustite,0.0,0.0,0.0,0.0,0.0,440.337261,0.24649713,1.483
Ferberite,2.0,1.0,7.58,4.0,2.325,271.6858,0.02240864,10.062999999999999
Feroxyhyte,5.0,1.0,4.31,3.0,0.0,128.70134000000002,0.02242018,4.765
Ferrihydrite,5.0,1.0,0.0,0.0,0.0,232.5472,0.033627269999999994,5.74
Ferro-actinolite,0.0,0.0,0.0,0.0,0.0,884.7603680000002,0.1120704,6.553
Ferronigerite-2N1S,5.0,0.0,0.0,0.0,0.0,527.7060349999999,0.07847549,5.581
Fichtelite,2.0,3.0,0.8320000000000001,4.0,0.0,261.47101999999995,0.37003089,0.586
Fluckite,1.0,2.0,3.05,4.0,1.629,440.88379000000003,0.17925144999999998,2.041
Fluellite,3.0,3.0,2.18,4.0,1.494,132.007484,0.12328699,0.889
Fluoborite,5.0,2.0,2.98,3.0,1.5519999999999998,70.11380299999999,0.02241639,2.596
Fluor-buergerite,5.0,2.0,3.31,3.0,1.695,763.10881,0.10096586,6.273
Fluor-liddicoatite,5.0,2.0,3.02,3.0,1.629,719.486197,0.10097168,5.914
Fluor-uvite,5.0,2.0,0.0,3.0,0.0,680.7379000000002,0.11216908,5.037
Fluorapophyllite-(K),4.0,2.0,2.35,3.0,1.534,209.281023,0.1008957,1.722
Fluorellestadite,5.0,2.0,3.05,3.0,1.77,207.304103,0.0448703,3.835
Fluorite,0.0,2.0,3.306,2.0,1.4409999999999998,59.076403000000006,0.011227899999999999,4.367
Fornacite,2.0,3.0,0.0,4.0,2.193,780.840652,0.08966702,7.228
